,name,reference product,location,unit
1417,market for spent cation exchange resin from potable water production,spent cation exchange resin from potable water production,CH,kilogram
1418,market for kerosene,kerosene,CH,kilogram
1419,"market for furnace, wood chips, average storage area, 300kW","furnace, wood chips, average storage area, 300kW",GLO,unit
1420,"market for 2,3-dimethylbutan","2,3-dimethylbutan",GLO,kilogram
1421,"operation, solar collector system, evacuated tube collector, one-family house, for combined system","heat, central or small-scale, other than natural gas",CH,megajoule
1422,"market for argon, crude, liquid","argon, crude, liquid",GLO,kilogram
1423,market for oriented strand board,oriented strand board,RER,cubic meter
1424,"land already in use, perennial cropland to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",US,kilogram
1425,"uranium production, diffusion, enriched 3.8%","uranium, enriched 3.8%, per separative work unit",US,unit
1426,"treatment of digester sludge, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
1427,solid bleached and unbleached board carton production,solid bleached and unbleached board carton,RoW,kilogram
1428,"market for weaned heifers, live weight","weaned heifers, live weight",BR,kilogram
1429,"treatment of waste emulsion paint on wood, collection for final disposal","waste emulsion paint, on wood",CH,kilogram
1430,"electricity production, hard coal","electricity, high voltage",MX,kilowatt hour
1431,"uranium fuel element production, enriched 4.2%, for light water reactor","uranium, enriched 4.2%, in fuel element for light water reactor",CH,kilogram
1432,chichibabin pyridine synthesis,"hydrogen, liquid",RoW,kilogram
1433,"market for laser machining, metal, with YAG-laser, 60W power","laser machining, metal, with YAG-laser, 60W power",GLO,hour
1434,"potassium chloride sludge, Recycled Content cut-off",potassium chloride sludge,GLO,kilogram
1435,market for cottonseed,cottonseed,BD,kilogram
1436,"natural gas, high pressure, import from RU","natural gas, high pressure",BE,cubic meter
1437,"deep well drilling, for deep geothermal power","deep well, drilled, for geothermal power",PH,meter
1438,market for salicylic acid,salicylic acid,GLO,kilogram
1439,electricity voltage transformation from medium to low voltage,"electricity, low voltage",CA-ON,kilowatt hour
1440,sodium cumenesulphonate production,sodium cumenesulphonate,RoW,kilogram
1441,"electricity production, hydro, pumped storage","electricity, high voltage",PL,kilowatt hour
1442,"market for ethanol, without water, in 95% solution state, from fermentation","ethanol, without water, in 95% solution state, from fermentation",RoW,kilogram
1443,market for waste polystyrene,waste polystyrene,ZA,kilogram
1444,"nitric acid production, product in 50% solution state","nitric acid, without water, in 50% solution state",RLA,kilogram
1445,beryllium production,beryllium,RoW,kilogram
1446,"light fuel oil, import from RoW",light fuel oil,PE,kilogram
1447,"market for electricity, medium voltage","electricity, medium voltage",NO,kilowatt hour
1448,"operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, electricity from renewable energy products","operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, electricity from renewable energy products",CH,hour
1449,"market for transport, freight, light commercial vehicle","transport, freight, light commercial vehicle",CH,ton kilometer
1450,"heat and power co-generation, biogas, gas engine","electricity, high voltage",GR,kilowatt hour
1451,"market for sawdust, wet, measured as dry mass","sawdust, wet, measured as dry mass",RoW,kilogram
1452,market for irrigation,irrigation,BR,cubic meter
1453,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",AR,kilowatt hour
1454,"market for cement, unspecified","cement, unspecified",PE,kilogram
1455,market for foam glass factory,foam glass factory,GLO,unit
1456,"market for sawnwood, board, softwood, raw, dried (u=10%)","sawnwood, board, softwood, raw, dried (u=10%)",Europe without Switzerland,cubic meter
1457,electricity voltage transformation from medium to low voltage,"electricity, low voltage",YE,kilowatt hour
1458,"land already in use, annual cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",US,kilogram
1459,"treatment of blast furnace gas, in power plant","electricity, high voltage",IT,kilowatt hour
1460,market for white asparagus,white asparagus,GLO,kilogram
1461,"treatment of used laptop computer, mechanical treatment",used laptop computer,GLO,kilogram
1462,"uranium fuel element production, enriched 4.2%, for light water reactor","uranium, enriched 4.2%, in fuel element for light water reactor",RoW,kilogram
1463,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","heat, district or industrial, natural gas",HR,megajoule
1464,dolomite production,dolomite,RER,kilogram
1465,"electricity production, natural gas, conventional power plant","electricity, high voltage",IE,kilowatt hour
1466,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",IS,kilogram
1467,market for waste graphical paper,waste graphical paper,NO,kilogram
1468,electricity voltage transformation from medium to low voltage,"electricity, low voltage",NO,kilowatt hour
1469,"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-XZ,kilowatt hour
1470,market for waste graphical paper,waste graphical paper,XK,kilogram
1471,"quicklime production, milled, packed","quicklime, milled, packed",RoW,kilogram
1472,"electricity production, natural gas, conventional power plant","electricity, high voltage",US-MRO,kilowatt hour
1473,clinker production,blast furnace sludge,US,kilogram
1474,"treatment of coal gas, in power plant","heat, district or industrial, other than natural gas",SE,megajoule
1475,"chlor-alkali electrolysis, membrane cell","chlorine, gaseous",RoW,kilogram
1476,esterification of soybean oil,fatty acid methyl ester,RoW,kilogram
1477,titanium production,titanium,GLO,kilogram
1478,"market for butene, mixed","butene, mixed",RoW,kilogram
1479,"tillage, currying, by weeder","tillage, currying, by weeder",CH,hectare
1480,"petroleum and gas production, onshore",petroleum,RO,kilogram
1481,thermoforming of plastic sheets,thermoforming of plastic sheets,RoW,kilogram
1482,market for wastewater from liquid crystal production,wastewater from liquid crystal production,CH,cubic meter
1483,"electricity production, oil","electricity, high voltage",US-SERC,kilowatt hour
1484,"electricity production, hydro, reservoir, alpine region","electricity, high voltage",JP,kilowatt hour
1485,"treatment of waste packaging paper, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
1486,market for fennel,fennel,GLO,kilogram
1487,"market for contouring, brass","contouring, brass",GLO,kilogram
1488,"market for natural gas, high pressure","natural gas, high pressure",JP,cubic meter
1489,market for glass wool mat,glass wool mat,GLO,kilogram
1490,market for waste polyethylene terephthalate,waste polyethylene terephthalate,PT,kilogram
1491,"market for diesel, low-sulfur","diesel, low-sulfur",RoW,kilogram
1492,"electricity production, natural gas, conventional power plant","electricity, high voltage",IN-AS,kilowatt hour
1493,market for waste paperboard,waste paperboard,PT,kilogram
1494,"market for sawlog and veneer log, azobe, debarked, measured as solid wood","sawlog and veneer log, azobe, debarked, measured as solid wood",RER,cubic meter
1495,market for multi-Si wafer,multi-Si wafer,GLO,square meter
1496,"heat and power co-generation unit construction, organic Rankine cycle, 1400kW thermal, components for electricity only","heat and power co-generation unit, organic Rankine cycle, 1400kW thermal, components for electricity only",CH,unit
1497,"market for transport, passenger coach","transport, passenger coach",GLO,person kilometer
1498,"land already in use, annual cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",BR-CE,kilogram
1499,"suction, shavings, softwood","shavings, softwood, measured as dry mass",Europe without Switzerland,kilogram
1500,market for kerosene,kerosene,RoW,kilogram
1501,"photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof","photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof",CH,unit
1502,market for tap water,tap water,CA-QC,kilogram
1503,decarboxylative cyclization of adipic acid,2-cyclopentone,RER,kilogram
1504,"land use change, pasture, man made","land use change, pasture, man made",BR-MT,hectare
1505,"market for transport, pipeline, onshore, petroleum","transport, pipeline, onshore, petroleum",RoW,ton kilometer
1506,"nuclear power plant construction, boiling water reactor 1000MW","nuclear power plant, boiling water reactor 1000MW",DE,unit
1507,"market for sewage sludge, 97% water, WWT, WW from tube collector production","sewage sludge, 97% water, WWT, WW from tube collector production",RoW,kilogram
1508,clay pit construction,clay pit infrastructure,RoW,unit
1509,"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",CL,kilogram
1510,"treatment of sewage sludge, 70% water, WWT, WW from medium density board production, municipal incineration","electricity, for reuse in municipal waste incineration only",RoW,kilowatt hour
1511,"milk production, from cow","cattle for slaughtering, live weight",RoW,kilogram
1512,"electricity, high voltage, import from IN-Southern grid","electricity, high voltage",IN-Western grid,kilowatt hour
1513,"market for land use change, pasture, man made","land use change, pasture, man made",BR-RJ,hectare
1514,"heat and power co-generation, natural gas, 1MW electrical, lean burn","electricity, high voltage",Europe without Switzerland,kilowatt hour
1515,"cover plaster production, organic","cover plaster, organic",CH,kilogram
1516,"market for electricity, high voltage","electricity, high voltage",UZ,kilowatt hour
1517,"impact extrusion of aluminium, deformation stroke","impact extrusion of aluminium, deformation stroke",RoW,kilogram
1518,"market for steel removed by turning, primarily dressing, computer numerical controlled","steel removed by turning, primarily dressing, computer numerical controlled",GLO,kilogram
1519,market for waste polypropylene,waste polypropylene,EE,kilogram
1520,liquid packaging board production,"tall oil, crude",RER,kilogram
1521,"heat and power co-generation, oil","heat, district or industrial, other than natural gas",SK,megajoule
1522,"market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, carbon dioxide, liquid refrig(...)_4","transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, carbon dioxide, liquid refrigerant, cooling",GLO,ton kilometer
1523,nutrient supply from NPK (26-15-15) fertiliser,"inorganic nitrogen fertiliser, as N",RNA,kilogram
1524,"electricity production, wind, >3MW turbine, onshore","electricity, high voltage",CN-HE,kilowatt hour
1525,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",LU,kilowatt hour
1526,"treatment of used lorry, 28 metric ton","used lorry, 28 metric ton",CH,unit
1527,"market for sewage sludge, 70% water, WWT, WW from soft fibreboard production","sewage sludge, 70% water, WWT, WW from soft fibreboard production",CH,kilogram
1528,"light fuel oil production, petroleum refinery operation",light fuel oil,ZA,kilogram
1529,market for spent anion exchange resin from potable water production,spent anion exchange resin from potable water production,RoW,kilogram
1530,market for liquefied petroleum gas,liquefied petroleum gas,ZA,kilogram
1531,"tap water production, conventional treatment",tap water,IN,kilogram
1532,"board, softwood, raw, kiln drying to u=10%","sawnwood, board, softwood, raw, dried (u=10%)",CA-QC,cubic meter
1533,"market for maintenance, bulk carrier, for dry goods","maintenance, bulk carrier, for dry goods",GLO,unit
1534,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",MX,kilowatt hour
1535,"market for transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO6, carbon dioxide, liquid refr(...)_13","transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO6, carbon dioxide, liquid refrigerant, freezing",GLO,ton kilometer
1536,"market for cattle for slaughtering, live weight","cattle for slaughtering, live weight",ZA,kilogram
1537,market for bromoxynil,bromoxynil,GLO,kilogram
1538,"planing, board, hardwood, u=20%","sawnwood, board, hardwood, dried (u=20%), planed",CA-QC,cubic meter
1539,"electricity, high voltage, import from US-WECC","electricity, high voltage",CA-BC,kilowatt hour
1540,sugar beet production,sugar beet,FR,kilogram
1541,"market for electricity, low voltage","electricity, low voltage",US-HICC,kilowatt hour
1542,"market for machine operation, diesel, >= 18.64 kW and < 74.57 kW, generators","machine operation, diesel, >= 18.64 kW and < 74.57 kW, generators",GLO,hour
1543,"treatment of coal gas, in power plant","electricity, high voltage",TW,kilowatt hour
1544,"heat production, propane, at industrial furnace >100kW","heat, district or industrial, other than natural gas",CA-QC,megajoule
1545,"clear-cutting, primary forest to arable land, pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made",BR-MG,kilogram
1546,"treatment of sewage sludge, 97% water, WWT, WW from pig iron production, landfarming","organic nitrogen fertiliser, as N",RoW,kilogram
1547,soybean meal and crude oil production,soybean meal,BR,kilogram
1548,"market for titanium, triple-melt","titanium, triple-melt",GLO,kilogram
1549,"harvesting, forestry harvester","harvesting, forestry harvester",RoW,hour
1550,"hydrogen production, gaseous, petroleum refinery operation","hydrogen, gaseous",Europe without Switzerland,kilogram
1551,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",RS,kilowatt hour
1552,hydrazine production,hydrazine,RER,kilogram
1553,"market for borehole heat exchanger, 150m","borehole heat exchanger, 150m",GLO,unit
1554,"lath, hardwood, raw, kiln drying to u=10%","sawnwood, lath, hardwood, raw, dried (u=10%)",Europe without Switzerland,cubic meter
1555,market for samarium oxide,samarium oxide,GLO,kilogram
1556,gypsum quarry operation,"gypsum, mineral",CH,kilogram
1557,market for waste glass sheet,waste glass sheet,RoW,kilogram
1558,base plaster production,base plaster,CH,kilogram
1559,"treatment of bottom ash, MSWI[F]-WWT, WW from concrete production, slag compartment","bottom ash, MSWI[F]-WWT, WW from concrete production",CH,kilogram
1560,"treatment of waste rubber, unspecified, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
1561,"compressed air production, 1200 kPa gauge, <30kW, optimized generation","compressed air, 1200 kPa gauge",RER,cubic meter
1562,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",IN-GA,kilowatt hour
1563,2-butanol production by hydration of butene,2-butanol,RER,kilogram
1564,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",IN-KL,kilowatt hour
1565,"electricity production, nuclear, pressure water reactor, heavy water moderated","electricity, high voltage",IN-UP,kilowatt hour
1566,market for scrap steel,scrap steel,RoW,kilogram
1567,market for waste glass,waste glass,GR,kilogram
1568,"cement production, Portland","cement, Portland",Europe without Switzerland,kilogram
1569,"market for bottom ash, MSWI-WWT, WW from LCD production","bottom ash, MSWI-WWT, WW from LCD production",GLO,kilogram
1570,ethylamine production,ethylamine,RoW,kilogram
1571,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",BG,kilogram
1572,"photovoltaic mounting system production, for 570kWp open ground module","photovoltaic mounting system, for 570kWp open ground module",GLO,square meter
1573,"market for assembly of generator and motor, auxilliaries and energy use, heat and power co-generation unit, 160kW","assembly of generator and motor, auxilliaries and energy use, heat and power co-generation unit, 160kW electrical",GLO,unit
1574,gold-silver mine operation with refinery,gold,PG,kilogram
1575,"furnace production, wood chips, average storage area, 300kW","furnace, wood chips, average storage area, 300kW",CH,unit
1576,"tillage, harrowing, by rotary harrow","tillage, harrowing, by rotary harrow",CA,hectare
1577,"heat and power co-generation, oil","electricity, high voltage",US-TRE,kilowatt hour
1578,"beam, hardwood, raw, kiln drying to u=10%","sawnwood, beam, hardwood, raw, dried (u=10%)",Europe without Switzerland,cubic meter
1579,market for dipropylene glycol monomethyl ether,dipropylene glycol monomethyl ether,RER,kilogram
1580,ammonium nitrate phosphate production,ammonium nitrate phosphate,RoW,kilogram
1581,nutrient supply from compost,"organic potassium fertiliser, as K2O",GLO,kilogram
1582,"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",BR-SE,kilogram
1583,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas","heat, district or industrial, other than natural gas",GB,megajoule
1584,"potassium nitrate production, technical grade","potassium nitrate, technical grade",CL,kilogram
1585,"market for heating and sanitary equipment, mini CHP plant","heating and sanitary equipment, mini CHP plant",GLO,unit
1586,concrete slab production,concrete slab,RoW,cubic meter
1587,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage",RoW,kilowatt hour
1588,"market for ethylvinylacetate, foil","ethylvinylacetate, foil",GLO,kilogram
1589,"market for casting, bronze","casting, bronze",GLO,kilogram
1590,"market for refrigeration machine, carbon dioxide, liquid as refrigerant","refrigeration machine, carbon dioxide, liquid as refrigerant",GLO,unit
1591,"land use change, pasture, man made","land use change, pasture, man made",BR-AC,hectare
1592,"electricity production, hydro, run-of-river","electricity, high voltage",CN-GX,kilowatt hour
1593,"market for electricity, medium voltage","electricity, medium voltage",LB,kilowatt hour
1594,"butene production, mixed","butene, mixed",RoW,kilogram
1595,"market for electricity, medium voltage","electricity, medium voltage",CA-SK,kilowatt hour
1596,calcareous marl production,calcareous marl,CH,kilogram
1597,"transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas","transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas",GLO,ton kilometer
1598,"market for capacitor, electrolyte type, > 2cm height","capacitor, electrolyte type, > 2cm height",GLO,kilogram
1599,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",CL,kilowatt hour
1600,tetrachloroethylene production,tetrachloroethylene,RoW,kilogram
1601,"clear-cutting, primary forest to arable land, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",BR-TO,kilogram
1602,"market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, R134a refrigerant, freezing","transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, R134a refrigerant, freezing",GLO,ton kilometer
1603,"switch production, toggle type","switch, toggle type",CA-QC,kilogram
1604,"platinum group metal mine operation, ore with high palladium content",rhodium,RU,kilogram
1605,"maintenance, motor scooter","maintenance, motor scooter",RoW,unit
1606,"market for metallization paste, back side","metallization paste, back side",RER,kilogram
1607,"treatment of waste textile, soiled, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
1608,market for waste polyurethane,waste polyurethane,DK,kilogram
1609,"cement production, CEM IV/B","cement, CEM IV/B",Europe without Switzerland,kilogram
1610,peat production,peat,NORDEL,kilogram
1611,fosetyl-Al production,fosetyl-Al,RER,kilogram
1612,"petroleum and gas production, offshore","natural gas, high pressure",DE,cubic meter
1613,"market for electricity, high voltage","electricity, high voltage",CA-NF,kilowatt hour
1614,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",CA-PE,megajoule
1615,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si","electricity, low voltage",CN-BJ,kilowatt hour
1616,sorting and pressing of iron scrap,"iron scrap, sorted, pressed",RoW,kilogram
1617,isophorondiisocyanate production,isophorondiisocyante,RoW,kilogram
1618,"limestone production, crushed, for mill","limestone, crushed, for mill",RoW,kilogram
1619,ethanol production from rye,"ethanol, without water, in 95% solution state, from fermentation",RoW,kilogram
1620,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",IE,kilowatt hour
1621,dinitrogen tetroxide production,dinitrogen tetroxide,GLO,kilogram
1622,"maintenance, transmission network, electricity, high voltage direct current land cable","maintenance, transmission network, electricity, high voltage direct current land cable",RER,kilometer-year
1623,"treatment of waste vapour barrier, flame-retarded, municipal incineration","electricity, for reuse in municipal waste incineration only",RoW,kilowatt hour
1624,"market for pulpwood, softwood, measured as solid wood under bark","pulpwood, softwood, measured as solid wood under bark",RoW,cubic meter
1625,nutrient supply from glycerin distillate bottom,"organo-mineral potassium fertiliser, as K2O",GLO,kilogram
1626,treatment of biowaste by anaerobic digestion,biowaste,RoW,kilogram
1627,"treatment of precious metal from electronics scrap, in anode slime, precious metal extraction",palladium,RoW,kilogram
1628,"treatment of sewage sludge, 75% water, WWT, condensate from light oil boiler, sanitary landfill","heat, district or industrial, other than natural gas",GLO,megajoule
1629,"market for 2,6-di-tert-butylphenol","2,6-di-tert-butylphenol",GLO,kilogram
1630,"treatment of waste, from silicon wafer production, underground deposit","waste, from silicon wafer production",RoW,kilogram
1631,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",IS,kilogram
1632,"electricity production, hydro, reservoir, alpine region","electricity, high voltage",IN-UT,kilowatt hour
1633,"heat transport fluid system construction, solar thermal parabolic trough, 50 MW","heat transport fluid system, solar thermal parabolic trough, 50 MW",RoW,unit
1634,"market for electricity, medium voltage","electricity, medium voltage",SY,kilowatt hour
1635,potato production,potato,RoW,kilogram
1636,"treatment of sewage sludge, 75% water, WWT, WW from LCD production, sanitary landfill","sewage sludge, 75% water, WWT, WW from LCD production",GLO,kilogram
1637,"treatment of waste graphical paper, open dump, wet infiltration class (500mm)",waste graphical paper,GLO,kilogram
1638,"aluminium, in mixed metal scrap, Recycled Content cut-off","aluminium, in mixed metal scrap",GLO,kilogram
1639,"market for polyvinylchloride, emulsion polymerised","polyvinylchloride, emulsion polymerised",GLO,kilogram
1640,"transport, freight, lorry 16-32 metric ton, EURO6","transport, freight, lorry 16-32 metric ton, EURO6",RoW,ton kilometer
1641,rape oil mill operation,rape meal,Europe without Switzerland,kilogram
1642,"electricity production, oil","electricity, high voltage",SI,kilowatt hour
1643,"market for electricity, low voltage","electricity, low voltage",BE,kilowatt hour
1644,market for urea ammonium nitrate mix,urea ammonium nitrate mix,RER,kilogram
1645,"market for wheat grain, feed, Swiss integrated production","wheat grain, feed, Swiss integrated production",CH,kilogram
1646,"air compressor production, screw-type compressor, 4kW","air compressor, screw-type compressor, 4kW",RoW,unit
1647,"irrigation, surface",irrigation,CA-QC,cubic meter
1648,market for sulfite,sulfite,RER,kilogram
1649,"treatment of residue from mechanical treatment, laser printer, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
1650,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",CN-YN,kilowatt hour
1651,"wheat production, Swiss integrated production, extensive",straw,CH,kilogram
1652,"nutrient supply from ash, from combustion of straw","organic nitrogen fertiliser, as N",GLO,kilogram
1653,"market for gold-silver, ingot","gold-silver, ingot",GLO,kilogram
1654,"suction, sawdust","sawdust, wet, measured as dry mass",CA-QC,kilogram
1655,"planing, board, hardwood, u=10%","shavings, hardwood, loose, measured as dry mass",CA-QC,kilogram
1656,"strawberry production, open field, macro tunnel",strawberry,US,kilogram
1657,"heat and power co-generation, biogas, gas engine","electricity, high voltage",TH,kilowatt hour
1658,"land use change, annual crop","land use change, annual crop",BR-BA,hectare
1659,"electricity production, hydro, run-of-river","electricity, high voltage",TW,kilowatt hour
1660,"petrol production, low-sulfur","petrol, low-sulfur",RoW,kilogram
1661,"inorganic nitrogen fertiliser, as N to generic market for organic nitrogen fertiliser, as N","organic nitrogen fertiliser, as N",GLO,kilogram
1662,"market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made",BR-MG,kilogram
1663,"catalytic converter production, three-way, 19.1l","catalytic converter, three-way, 19.1l",RER,unit
1664,"electricity production, oil","electricity, high voltage",DE,kilowatt hour
1665,sand-lime brick production,sand-lime brick,RoW,kilogram
1666,"electrolyte, nickel-rich to generic market for nickel-rich materials",nickel-rich materials,GLO,kilogram
1667,"treatment of waste bitumen, sanitary landfill",waste bitumen,Europe without Switzerland,kilogram
1668,"catch crop growing, sunflower, August-October, organic fertiliser 30 kg N",sunflower silage,CH,kilogram
1669,"market for electricity, low voltage","electricity, low voltage",SG,kilowatt hour
1670,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",TH,kilogram
1671,"market for electricity, medium voltage","electricity, medium voltage",FI,kilowatt hour
1672,"NCA oxide production, for Li-ion battery",NCA oxide,CN,kilogram
1673,market for woven bamboo mat,woven bamboo mat,PH,kilogram
1674,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",CL,kilowatt hour
1675,"treatment of bottom ash, MSWI[F]-WWT, WW from grass refinery, slag compartment","bottom ash, MSWI[F]-WWT, WW from grass refinery",CH,kilogram
1676,market for dimethenamide,dimethenamide,GLO,kilogram
1677,"electricity, high voltage, import from CA-AB","electricity, high voltage",CA-BC,kilowatt hour
1678,"diesel production, petroleum refinery operation",diesel,CO,kilogram
1679,treatment of crust from Parkes process for lead production,silver,GLO,kilogram
1680,"polyethylene, high density, granulate, recycled to generic market for high density PE granulate","polyethylene, high density, granulate",US,kilogram
1681,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",US-MRO,megajoule
1682,"market for electricity, high voltage","electricity, high voltage",TN,kilowatt hour
1683,"planing, board, softwood, u=10%","sawnwood, board, softwood, dried (u=10%), planed",RoW,cubic meter
1684,"natural gas, high pressure, import from NL","natural gas, high pressure",RoW,cubic meter
1685,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",HR,kilowatt hour
1686,dung slab construction,dung slab,CH,square meter
1687,"market for residues, MSWI-WWT, WW from grass refinery","residues, MSWI-WWT, WW from grass refinery",GLO,kilogram
1688,"market for shavings, softwood, loose, measured as dry mass","shavings, softwood, loose, measured as dry mass",GLO,kilogram
1689,"operation, housing system, pig, fully-slatted floor","operation, housing system, pig, fully-slatted floor, per pig place",RoW,unit
1690,"window frame production, aluminium, U=1.6 W/m2K","window frame, aluminium, U=1.6 W/m2K",RoW,square meter
1691,"fatty alcohol sulfate production, coconut oil",fatty alcohol sulfate,RoW,kilogram
1692,"impact extrusion of steel, warm, deformation stroke","impact extrusion of steel, warm, deformation stroke",RER,kilogram
1693,"market for carrot seed, Swiss integrated production, at farm","carrot seed, Swiss integrated production, at farm",GLO,kilogram
1694,"treatment of spent antifreezer liquid, hazardous waste incineration, with energy recovery",spent antifreezer liquid,CH,kilogram
1695,market for waste paperboard,waste paperboard,CO,kilogram
1696,"treatment of non-Fe-Co-metals, from used Li-ion battery, hydrometallurgical processing",manganese,GLO,kilogram
1697,"market for resistor, metal film type, through-hole mounting","resistor, metal film type, through-hole mounting",GLO,kilogram
1698,"transport, pipeline, onshore, long distance, natural gas","transport, pipeline, onshore, long distance, natural gas",SA,ton kilometer
1699,"treatment of blast furnace gas, in power plant","electricity, high voltage",RO,kilowatt hour
1700,"market for weaned heifers, live weight","weaned heifers, live weight",ZA,kilogram
1701,pomegranate production,pomegranate,RoW,kilogram
1702,"treatment of lignite ash, opencast refill",lignite ash,MK,kilogram
1703,"operation, computer, desktop, with liquid crystal display, home use","operation, computer, desktop, home use",CA-QC,hour
1704,"market for electricity, high voltage","electricity, high voltage",AE,kilowatt hour
1705,market for H3PO4 purification residue,H3PO4 purification residue,GLO,kilogram
1706,"market for heat, for reuse in municipal waste incineration only","heat, for reuse in municipal waste incineration only",IT,megajoule
1707,"treatment of coal gas, in power plant","electricity, high voltage",CA-ON,kilowatt hour
1708,market for waste polyvinylchloride,waste polyvinylchloride,LV,kilogram
1709,"washing, drying and finishing laundry","washing, drying and finishing laundry",GLO,kilogram
1710,"treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration","sewage sludge, 70% water, WWT, WW from glass production",GLO,kilogram
1711,"battery production, Li-ion, NCA, rechargeable, prismatic","battery, Li-ion, NCA, rechargeable, prismatic",CN,kilogram
1712,pulp factory construction,pulp factory,RER,unit
1713,"market for maize grain, feed","maize grain, feed",ZA,kilogram
1714,market for NPK (26-15-15) fertiliser,NPK (26-15-15) fertiliser,CN,kilogram
1715,"furnace production, logs, average storage area, 6kW","furnace, logs, average storage area, 6kW",RoW,unit
1716,"natural gas production, liquefied","natural gas, liquefied",ID,cubic meter
1717,"market for heat and power co-generation unit, 200kW electrical, components for electricity only","heat and power co-generation unit, 200kW electrical, components for electricity only",GLO,unit
1718,"anaerobic digestion plant construction, for sewage sludge","anaerobic digestion plant, for sewage sludge",RoW,unit
1719,"electricity production, hydro, run-of-river","electricity, high voltage",CN-SX,kilowatt hour
1720,market for bamboo pole,bamboo pole,CN,kilogram
1721,"treatment of blast furnace gas, in power plant","electricity, high voltage",IE,kilowatt hour
1722,"market for joist, engineered wood","joist, engineered wood",GLO,meter
1723,"treatment of municipal solid waste, incineration",municipal solid waste,CH,kilogram
1724,"nuclear fuel element production, for pressure water reactor, UO2 3.9% & MOX","nuclear fuel element, for pressure water reactor, UO2 3.9% & MOX",RoW,kilogram
1725,market for electric arc furnace secondary metallurgy slag,electric arc furnace secondary metallurgy slag,RER,kilogram
1726,"electricity, high voltage, import from CN-SGCC","electricity, high voltage",MN,kilowatt hour
1727,"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","electricity, high voltage",RoW,kilowatt hour
1728,"market for oxygen, liquid","oxygen, liquid",RoW,kilogram
