,name,reference product,location,unit
22,market for sludge from pulp and paper production,sludge from pulp and paper production,Europe without Switzerland,kilogram
23,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","electricity, high voltage",HU,kilowatt hour
24,"market for electric motor, electric passenger car","electric motor, electric passenger car",GLO,kilogram
25,"market for coating, with melamine impregnated paper","coating, with melamine impregnated paper",GLO,square meter
26,"electricity production, nuclear, boiling water reactor","electricity, high voltage",US-WECC,kilowatt hour
27,"navy bean seed production, for sowing","navy bean seed, for sowing",GLO,kilogram
28,beef cattle production on pasture,"cattle for slaughtering, live weight",RoW,kilogram
29,"land already in use, annual cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",ZA,kilogram
30,methyl iodide production,methyl iodide,RER,kilogram
31,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",CN-HB,kilowatt hour
32,"concrete production, 30MPa, for drilled piles, with cement, CEM II/B","concrete, 30MPa",RoW,cubic meter
33,"market for electricity, medium voltage","electricity, medium voltage",HN,kilowatt hour
34,"containerboard production, fluting medium, recycled","containerboard, fluting medium",RoW,kilogram
35,"heat and power co-generation, oil","heat, district or industrial, other than natural gas",TR,megajoule
36,market for hard coal,hard coal,RLA,kilogram
37,"land use change, perennial crop","land use change, perennial crop",CI,hectare
38,"heat and power co-generation, hard coal","electricity, high voltage",SK,kilowatt hour
39,"trawler construction, steel","trawler, steel",RoW,kilogram
40,"treatment of waste wood pole, chrome preserved, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
41,"market for sewage sludge, 75% water, WWT, heat carrier liquid, 40% C3H8O2","sewage sludge, 75% water, WWT, heat carrier liquid, 40% C3H8O2",GLO,kilogram
42,"petroleum and gas production, offshore","natural gas, high pressure",NL,cubic meter
43,"softwood forestry, mixed species, sustainable forest management","cleft timber, measured as dry mass",CH,kilogram
44,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",SI,kilogram
45,"market for steel, unalloyed","steel, unalloyed",GLO,kilogram
46,ethanol production from wood,"ethanol, without water, in 95% solution state, from fermentation",RoW,kilogram
47,"treatment of waste paint on metal, collection for final disposal",waste paint on metal,CH,kilogram
48,palm kernel meal to generic market for protein feed,"protein feed, 100% crude",GLO,kilogram
49,treatment of copper scrap by electrolytic refining,"copper, cathode",RoW,kilogram
50,nylon 6 production,nylon 6,RoW,kilogram
51,"poultry manure, dried, Recycled Content cut-off","poultry manure, dried",GLO,kilogram
52,market for waste polyethylene,waste polyethylene,MK,kilogram
53,"tomato production, processing grade, open field","tomato, processing grade",RoW,kilogram
54,heavy water production,heavy water,CA,kilogram
55,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",AT,kilowatt hour
56,heavy mineral sand quarry operation,zircon,AU,kilogram
57,"market for fan, for power supply unit, desktop computer","fan, for power supply unit, desktop computer",GLO,kilogram
58,market for anionic resin,anionic resin,RoW,kilogram
59,"market for lightweight concrete block, expanded perlite","lightweight concrete block, expanded perlite",CH,kilogram
60,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",CN-CSG,kilowatt hour
61,dimethyl malonate production,dimethyl malonate,RER,kilogram
62,"electricity production, oil","electricity, high voltage",SK,kilowatt hour
63,"electricity production, hydro, reservoir, non-alpine region","electricity, high voltage",CA-ON,kilowatt hour
64,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",Europe without Switzerland,megajoule
65,"heat and power co-generation, natural gas, 50kW electrical, lean burn","heat, central or small-scale, natural gas",Europe without Switzerland,megajoule
66,"clear-cutting, grassland to arable land, pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made",BR-PI,kilogram
67,"phosphorus production, white, liquid","phosphorus, white, liquid",RoW,kilogram
68,"waste polyethylene, for recycling, sorted, Recycled Content cut-off","waste polyethylene, for recycling, sorted",GLO,kilogram
